# Random instances, read back by cell and by column
#
# Generated by validation/gen_wb_vectors.py from
# validation/bcmc_periph.py. Do not edit: regenerate.
#
# Geometry: MAX_C = 64, VAL_W = 16, IDX_W = 16
#
# op adr sel data     exp rdata
Z

L N = 1, C = 1, weights 0
R  024 F 00000000 ACK 00000001

L N = 9, C = 3, weights 2 1 6
W  014 F 00000009 ACK 00000000
W  018 F 00000003 ACK 00000000
W  400 F 00000002 ACK 00000000
W  404 F 00000001 ACK 00000000
W  408 F 00000006 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000002
R  808 F 00000000 ACK 00000003
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 00000004
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 00000004
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001

L N = 16, C = 4, weights 10 10 5 10
W  014 F 00000010 ACK 00000000
W  018 F 00000004 ACK 00000000
W  400 F 0000000A ACK 00000000
W  404 F 0000000A ACK 00000000
W  408 F 00000005 ACK 00000000
W  40C F 0000000A ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 0000000A
R  808 F 00000000 ACK 00000004
R  80C F 00000000 ACK 00000009
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 0000000B
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 0000000B
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 0000000B
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000003
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000009 ACK 00000000
R  028 F 00000000 ACK 00000009
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 0000000B ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 0000000C ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 0000000D ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 0000000E ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 0000000A
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000003 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001

L N = 19, C = 6, weights 12 12 10 3 4 4
W  014 F 00000013 ACK 00000000
W  018 F 00000006 ACK 00000000
W  400 F 0000000C ACK 00000000
W  404 F 0000000C ACK 00000000
W  408 F 0000000A ACK 00000000
W  40C F 00000003 ACK 00000000
W  410 F 00000004 ACK 00000000
W  414 F 00000004 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 0000000C
R  808 F 00000000 ACK 00000005
R  80C F 00000000 ACK 0000000F
R  810 F 00000000 ACK 00000012
R  814 F 00000000 ACK 00000003
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000013
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000013
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000013
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000023
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 00000023
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00000025
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 00000025
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 00000009 ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 0000000B ACK 00000000
R  028 F 00000000 ACK 00000005
W  020 F 0000000C ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000D ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000E ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 00000010 ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 00000011 ACK 00000000
R  028 F 00000000 ACK 0000000A
W  020 F 00000012 ACK 00000000
R  028 F 00000000 ACK 00000012
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000003 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000004 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000005 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000

L N = 21, C = 3, weights 0 21 12
W  014 F 00000015 ACK 00000000
W  018 F 00000003 ACK 00000000
W  400 F 00000000 ACK 00000000
W  404 F 00000015 ACK 00000000
W  408 F 0000000C ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000000
R  808 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000004 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000006 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000007 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000008 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 00000009 ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000B ACK 00000000
R  028 F 00000000 ACK 00000006
W  020 F 0000000C ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000D ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000E ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000010 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000011 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000012 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000013 ACK 00000000
R  028 F 00000000 ACK 00000002
W  020 F 00000014 ACK 00000000
R  028 F 00000000 ACK 00000002
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000002 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000008 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000009 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000A ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000B ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 0000000C ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000D ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000E ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 0000000F ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000010 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000011 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000012 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000013 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000014 ACK 00000000
R  024 F 00000000 ACK 00000000

L N = 4, C = 8, weights 3 2 4 1 4 0 4 0
W  014 F 00000004 ACK 00000000
W  018 F 00000008 ACK 00000000
W  400 F 00000003 ACK 00000000
W  404 F 00000002 ACK 00000000
W  408 F 00000004 ACK 00000000
W  40C F 00000001 ACK 00000000
W  410 F 00000004 ACK 00000000
W  414 F 00000000 ACK 00000000
W  418 F 00000004 ACK 00000000
W  41C F 00000000 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000003
R  808 F 00000000 ACK 00000001
R  80C F 00000000 ACK 00000001
R  810 F 00000000 ACK 00000002
R  814 F 00000000 ACK 00000002
R  818 F 00000000 ACK 00000002
R  81C F 00000000 ACK 00000002
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000057
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 0000005D
W  020 F 00000002 ACK 00000000
R  028 F 00000000 ACK 00000055
W  020 F 00000003 ACK 00000000
R  028 F 00000000 ACK 00000056
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
